OLPbi,OLPbt,OLPbrt,TBPbi,THObi,TBPbt,THObt,TBPbrt,THObrt,GLKbp,GLKbt,GLKbrt
26,210,NA,16.4,12.5,5.58,5.54,NA,NA,86.5,60,NA
24,191,NA,15.1,9.99,6.14,4.7,NA,NA,93.8,64.1,NA
23,159,NA,9.12,7.09,7.81,8.42,NA,NA,82.6,61.9,NA
24,187,NA,10.5,8.92,5.28,4.93,NA,NA,85.4,62.8,NA
34,208,NA,15.2,14,10.8,11.6,NA,NA,89.7,71.4,NA
23,193,NA,11,10.5,2.35,2.29,NA,NA,89.1,59.6,NA
33,167,NA,12,9.44,3.92,4.33,NA,NA,80.3,64.4,NA
32,196,NA,9.43,10.5,8.11,9.01,NA,NA,89.1,64,NA
34,207,NA,17.7,14.4,4.41,4,NA,NA,80.9,57.7,NA
34,213,NA,12.2,11.9,5.86,6.41,NA,NA,77.9,64.6,NA
19,197,NA,5.93,7.04,4.1,4.1,NA,NA,92.1,56.6,NA
16,204,NA,8.48,7.7,8.33,9.16,NA,NA,78.1,68.9,NA
16,213,NA,17.3,24.5,7.45,9.34,NA,NA,84.4,67.4,NA
14,208,NA,20.3,17.3,5.29,5.3,NA,NA,82.1,62.3,NA
14,167,NA,14.3,18,3.62,2.95,NA,NA,89.3,55.4,NA
20,166,NA,5.45,6.4,2.82,2.36,NA,NA,92.5,55.1,NA
14,162,NA,7.03,8.61,0.76,1.05,NA,NA,82.1,54.9,NA
22,188,NA,6.27,5.86,2.43,2.43,NA,NA,79.5,63.8,NA
21,188,NA,7.05,5.82,5.08,4.48,NA,NA,92.9,60.6,NA
10,188,NA,3.88,6.29,4.33,3.99,NA,NA,75,60.4,NA
NA,167,NA,NA,NA,4.75,3.95,NA,NA,NA,59,NA
NA,168,NA,NA,NA,4.87,4.92,NA,NA,NA,59.5,NA
NA,188,NA,NA,NA,3.96,3.54,NA,NA,NA,59.8,NA
NA,188,NA,NA,NA,5.38,4.83,NA,NA,NA,65.2,NA
NA,188,NA,NA,NA,3.97,3.96,NA,NA,NA,61.4,NA
NA,188,NA,NA,NA,3.78,3.66,NA,NA,NA,62,NA
NA,188,NA,NA,NA,3.8,2.66,NA,NA,NA,56.6,NA
NA,188,NA,NA,NA,8.06,7.19,NA,NA,NA,65.4,NA
NA,188,NA,NA,NA,5.36,4.94,NA,NA,NA,64.6,NA
NA,135,NA,NA,NA,3.38,2.81,NA,NA,NA,59.6,NA
NA,186,NA,NA,NA,6.63,5.98,NA,NA,NA,59.4,NA
NA,188,NA,NA,NA,4.49,3.44,NA,NA,NA,62,NA
NA,188,NA,NA,NA,3.01,2.97,NA,NA,NA,58,NA
NA,166,NA,NA,NA,5.42,4.72,NA,NA,NA,62.3,NA
NA,188,NA,NA,NA,5.8,5.04,NA,NA,NA,60.4,NA
NA,185,NA,NA,NA,2.93,2.92,NA,NA,NA,53.8,NA
NA,188,NA,NA,NA,4.74,3.78,NA,NA,NA,58.2,NA
NA,188,NA,NA,NA,3.75,3.68,NA,NA,NA,60.9,NA
NA,188,NA,NA,NA,4.34,3.16,NA,NA,NA,54.5,NA
NA,188,NA,NA,NA,3.63,3.58,NA,NA,NA,59.8,NA
NA,188,NA,NA,NA,3.62,3.07,NA,NA,NA,61.4,NA
NA,166,NA,NA,NA,5.74,6.17,NA,NA,NA,66.9,NA
NA,164,NA,NA,NA,4.16,4.68,NA,NA,NA,57.9,NA
NA,168,NA,NA,NA,4.22,3.95,NA,NA,NA,57.7,NA
NA,169,NA,NA,NA,5.76,5.7,NA,NA,NA,62.7,NA
NA,168,NA,NA,NA,4.76,4.6,NA,NA,NA,62.8,NA
NA,169,NA,NA,NA,3.95,4.01,NA,NA,NA,60.9,NA
NA,169,NA,NA,NA,4.16,3.83,NA,NA,NA,62.1,NA
NA,169,NA,NA,NA,3.62,3.52,NA,NA,NA,55.9,NA
NA,169,NA,NA,NA,4.73,5.16,NA,NA,NA,62.1,NA
NA,169,NA,NA,NA,4.28,4.27,NA,NA,NA,60.1,NA
NA,169,NA,NA,NA,4.81,4.75,NA,NA,NA,56.5,NA
NA,169,NA,NA,NA,5.41,5.11,NA,NA,NA,59.5,NA
NA,167,NA,NA,NA,4.86,4.84,NA,NA,NA,64.7,NA
NA,169,NA,NA,NA,5.08,4.68,NA,NA,NA,57.7,NA
NA,114,NA,NA,NA,4.96,4.85,NA,NA,NA,57.5,NA
NA,169,NA,NA,NA,6.09,6.15,NA,NA,NA,60.1,NA
NA,169,NA,NA,NA,5.09,4.17,NA,NA,NA,60.7,NA
NA,169,NA,NA,NA,4.67,4.29,NA,NA,NA,58,NA
NA,167,NA,NA,NA,3.19,3.57,NA,NA,NA,57.2,NA
NA,168,NA,NA,NA,4.48,4,NA,NA,NA,61,NA
NA,164,NA,NA,NA,4.15,3.73,NA,NA,NA,60.7,NA
NA,169,NA,NA,NA,4.6,3.77,NA,NA,NA,54.1,NA
NA,167,NA,NA,NA,6.11,6.61,NA,NA,NA,70.4,NA
NA,167,NA,NA,NA,4.99,3.61,NA,NA,NA,51.8,NA
NA,169,NA,NA,NA,3.78,3.95,NA,NA,NA,62.4,NA
NA,169,NA,NA,NA,3.78,2.83,NA,NA,NA,58.9,NA
NA,161,NA,NA,NA,2.47,2.74,NA,NA,NA,54,NA
NA,166,NA,NA,NA,5.29,4.84,NA,NA,NA,58.4,NA
NA,166,NA,NA,NA,5.03,5.12,NA,NA,NA,61.4,NA
NA,166,NA,NA,NA,5.21,5.54,NA,NA,NA,63.6,NA
NA,166,NA,NA,NA,4.97,5.88,NA,NA,NA,65.1,NA
NA,166,NA,NA,NA,3.89,4.54,NA,NA,NA,58.4,NA
NA,166,NA,NA,NA,4.27,4.46,NA,NA,NA,58.1,NA
NA,166,NA,NA,NA,4.26,4.45,NA,NA,NA,65.4,NA
NA,166,NA,NA,NA,3.26,3.6,NA,NA,NA,55.1,NA
NA,166,NA,NA,NA,5.38,5.99,NA,NA,NA,63,NA
NA,166,NA,NA,NA,5.67,5.95,NA,NA,NA,63,NA
NA,166,NA,NA,NA,3.58,3.41,NA,NA,NA,59,NA
NA,166,NA,NA,NA,4.04,3.19,NA,NA,NA,55.1,NA
NA,114,NA,NA,NA,4.9,4.78,NA,NA,NA,55.7,NA
NA,166,NA,NA,NA,5.15,4.96,NA,NA,NA,61.1,NA
NA,166,NA,NA,NA,5.67,5.7,NA,NA,NA,56.9,NA
NA,166,NA,NA,NA,2.23,2.84,NA,NA,NA,53.6,NA
NA,165,NA,NA,NA,3.32,4.29,NA,NA,NA,56.7,NA
NA,166,NA,NA,NA,5.88,5.43,NA,NA,NA,58.7,NA
NA,164,NA,NA,NA,2.98,2.84,NA,NA,NA,58.8,NA
NA,166,NA,NA,NA,4.91,4.51,NA,NA,NA,55.7,NA
NA,166,NA,NA,NA,3.65,4.28,NA,NA,NA,61.1,NA
NA,166,NA,NA,NA,5.92,5.64,NA,NA,NA,61.1,NA
NA,166,NA,NA,NA,5.01,5.93,NA,NA,NA,61.1,NA
NA,166,NA,NA,NA,2.73,1.91,NA,NA,NA,58.1,NA
NA,163,NA,NA,NA,1.86,2.31,NA,NA,NA,59.8,NA
NA,164,NA,NA,NA,4.78,5.13,NA,NA,NA,61.3,NA
NA,163,NA,NA,NA,3.76,3.56,NA,NA,NA,54,NA
NA,165,NA,NA,NA,4.8,4.96,NA,NA,NA,60.6,NA
NA,164,NA,NA,NA,4.59,5.23,NA,NA,NA,63.1,NA
NA,164,NA,NA,NA,0,0,NA,NA,NA,49.4,NA
NA,164,NA,NA,NA,2.21,3.29,NA,NA,NA,55.8,NA
NA,164,NA,NA,NA,2.18,2.15,NA,NA,NA,54.9,NA
NA,164,NA,NA,NA,2.5,3.1,NA,NA,NA,56.7,NA
NA,165,NA,NA,NA,4.96,4.93,NA,NA,NA,55.2,NA
NA,162,NA,NA,NA,1.92,2.15,NA,NA,NA,55.9,NA
NA,164,NA,NA,NA,0.36,0.66,NA,NA,NA,50,NA
NA,109,NA,NA,NA,1.22,1.24,NA,NA,NA,56,NA
NA,164,NA,NA,NA,3.96,4.43,NA,NA,NA,61,NA
NA,164,NA,NA,NA,3.26,3.61,NA,NA,NA,62.8,NA
NA,165,NA,NA,NA,4.51,4.61,NA,NA,NA,59.1,NA
NA,163,NA,NA,NA,1.88,1.82,NA,NA,NA,53.4,NA
NA,163,NA,NA,NA,2.83,3.46,NA,NA,NA,55.8,NA
NA,159,NA,NA,NA,1.86,2.18,NA,NA,NA,58.5,NA
